scenario,channel,receiver,equalizer,requested_input_snr_db,measured_input_snr_db,measured_output_snr_db,lane_symbol_error_rate,vector_symbol_error_rate,ber_proxy_empirical,ber_proxy_analytic,fer_125octet_proxy_empirical,fer_125octet_proxy_analytic,frame_4d_error_proxy_empirical,residual_sigma,slicer_gain,alignment_delay_symbols,aligned_symbols
ideal_no_ffe,ideal,no FFE,none,8.0,8.004268173035884,7.999752194058561,0.2997579225352113,0.7597671254801537,0.2997579225352113,0.29949452124882897,1.0,1.0,1.0,0.5628596497873121,0.9994810410514969,0,499840
clause40_no_ffe,clause40 insertion-loss-shaped,no FFE,none,8.0,8.005977640305707,5.050393219672511,0.4310504361395647,0.895416533290653,0.4310504361395647,0.42161664946335925,1.0,1.0,1.0,0.7904384627051477,0.643142156564796,0,499840
clause40_float_mmse,clause40 insertion-loss-shaped,floating MMSE FFE,float-mmse,8.0,7.99268220528604,6.983491578443848,0.34339113229139157,0.8135628486143455,0.34339113229139157,0.34351196976173537,1.0,1.0,1.0,0.6327223859450618,0.9897810877675964,4,499836
clause40_fixed_ffe,clause40 insertion-loss-shaped,fixed RTL-model FFE,fixed-rtl-model,8.0,8.008064979097977,6.9818812905003735,0.3433049772524478,0.8140922786365073,0.3433049772524478,0.3435804935588097,1.0,1.0,1.0,0.6328398556267361,7780.719088654296,6,499834
ideal_no_ffe,ideal,no FFE,none,10.0,10.002961947538537,10.006199609858179,0.2103518125800256,0.6111835787451985,0.2103518125800256,0.2104574394997606,1.0,1.0,1.0,0.44676356248565396,1.000373134783651,0,499840
clause40_no_ffe,clause40 insertion-loss-shaped,no FFE,none,10.0,9.995254601750274,6.071982549522312,0.39799035691421253,0.8680757842509603,0.39799035691421253,0.38141428212556705,1.0,1.0,1.0,0.7027301684560859,0.6428152958945318,0,499840
clause40_float_mmse,clause40 insertion-loss-shaped,floating MMSE FFE,float-mmse,10.0,10.00598471017918,8.992451104424912,0.25539677014060613,0.6927852335566066,0.25539677014060613,0.2554487512509351,1.0,1.0,1.0,0.5020711005829891,0.9893549814909176,4,499836
clause40_fixed_ffe,clause40 insertion-loss-shaped,fixed RTL-model FFE,fixed-rtl-model,10.0,10.007268182399311,8.980209179409226,0.25600349315972903,0.6936602952180124,0.25600349315972903,0.25599448994550933,1.0,1.0,1.0,0.5027793455679076,7779.766121032987,6,499834
ideal_no_ffe,ideal,no FFE,none,12.0,11.995628135291959,11.993984499397484,0.12759883162612035,0.4214088508322663,0.12759883162612035,0.12755159007526748,1.0,1.0,1.0,0.3553763322966202,0.9998154781655522,0,499840
clause40_no_ffe,clause40 insertion-loss-shaped,no FFE,none,12.0,11.993820437090525,6.873193298582915,0.37381662131882204,0.8465969110115237,0.37381662131882204,0.34818808245822463,1.0,1.0,1.0,0.6408082006036764,0.6430937148611792,0,499840
clause40_float_mmse,clause40 insertion-loss-shaped,floating MMSE FFE,float-mmse,12.0,12.001916455544448,10.98034437938159,0.16855428580574427,0.5219592026184589,0.16855428580574427,0.16845999615671314,1.0,1.0,1.0,0.39936551419329497,0.9889652908654041,4,499836
clause40_fixed_ffe,clause40 insertion-loss-shaped,fixed RTL-model FFE,fixed-rtl-model,12.0,11.995189168296399,10.968321673375364,0.16889507316429053,0.5225194764661868,0.16889507316429053,0.16896546478654742,1.0,1.0,1.0,0.39991878438668327,7780.626874093544,6,499834
ideal_no_ffe,ideal,no FFE,none,14.0,14.000230071344433,14.001083951388908,0.06112455985915493,0.22276128361075545,0.06112455985915493,0.06102207824798257,1.0,1.0,0.9999999999999791,0.2820548216438187,1.0001015781013718,0,499840
clause40_no_ffe,clause40 insertion-loss-shaped,no FFE,none,14.0,14.003130703741427,7.479698164185484,0.3568031770166453,0.8281590108834828,0.3568031770166453,0.32221121300781824,1.0,1.0,1.0,0.5975893067499454,0.6430275047884086,0,499840
clause40_float_mmse,clause40 insertion-loss-shaped,floating MMSE FFE,float-mmse,14.0,13.99592251177765,12.982880234521787,0.09213572051632936,0.32017301674949383,0.09213572051632936,0.09190692167319342,1.0,1.0,1.0,0.3171347025529152,0.9894752325517199,4,499836
clause40_fixed_ffe,clause40 insertion-loss-shaped,fixed RTL-model FFE,fixed-rtl-model,14.0,13.993589311308522,12.959074365554129,0.09256473149085497,0.3223350152250547,0.09256473149085497,0.09270451187271272,1.0,1.0,1.0,0.3180051615116125,7779.10815918197,6,499834
ideal_no_ffe,ideal,no FFE,none,16.0,15.997270862948296,15.99650244923433,0.02047705265685019,0.07959146927016646,0.02047705265685019,0.02057000442636482,0.9999999989657758,0.99999999905941,0.9999685529866753,0.22416231515362783,0.9999122942019495,0,499840
clause40_no_ffe,clause40 insertion-loss-shaped,no FFE,none,16.0,15.996667154828367,7.906050597720302,0.3463898447503201,0.8174935979513445,0.3463898447503201,0.30361238099154797,1.0,1.0,1.0,0.5689645341877666,0.6430784825519767,0,499840
clause40_float_mmse,clause40 insertion-loss-shaped,floating MMSE FFE,float-mmse,16.0,16.001939968114765,14.984372579186125,0.03769736473563329,0.14239270480717675,0.03769736473563329,0.037699167271233854,1.0,1.0,0.9999999954179657,0.25186577103591146,0.9892662650841496,4,499836
clause40_fixed_ffe,clause40 insertion-loss-shaped,fixed RTL-model FFE,fixed-rtl-model,16.0,15.997288932372582,14.962029186323987,0.03807864210918025,0.14385175878391626,0.03807864210918025,0.03815528819110719,1.0,1.0,0.9999999962964253,0.2525145619659523,7779.221320450853,6,499834
ideal_no_ffe,ideal,no FFE,none,18.0,17.995892287949978,17.99632672552034,0.004031290012804097,0.01603913252240717,0.004031290012804097,0.003987897135335581,0.9823926273930224,0.9816085611184755,0.8674961984512666,0.17806205841410835,1.0000528424855195,0,499840
clause40_no_ffe,clause40 insertion-loss-shaped,no FFE,none,18.0,18.00229011923789,8.194175693444171,0.34038742397567223,0.8106754161331626,0.34038742397567223,0.29092122302133666,1.0,1.0,1.0,0.5504006538611734,0.6430855933416062,0,499840
clause40_float_mmse,clause40 insertion-loss-shaped,floating MMSE FFE,float-mmse,18.0,17.99780618904682,16.977175422748296,0.010032790755367761,0.03952896550068422,0.010032790755367761,0.010016269133578965,0.9999582352709457,0.9999575324140602,0.9935355137726245,0.20022993575290685,0.9892911977866246,4,499836
clause40_fixed_ffe,clause40 insertion-loss-shaped,fixed RTL-model FFE,fixed-rtl-model,18.0,18.00054035237093,16.955614229799195,0.010172377229240108,0.04004729570217312,0.010172377229240108,0.01019252274523849,0.9999637281800192,0.9999644589497397,0.993957320631178,0.20072763874778113,7780.088846722444,6,499834
ideal_no_ffe,ideal,no FFE,none,20.0,20.005100306266428,20.00584603841636,0.0003301056338028169,0.001318421895006402,0.0003301056338028169,0.00032137602363110636,0.28119137908400627,0.27488692877108645,0.1520312304483764,0.14128479438320257,1.000083352050886,0,499840
clause40_no_ffe,clause40 insertion-loss-shaped,no FFE,none,20.0,19.997751092900458,8.387092704571298,0.3375055017605634,0.808080585787452,0.3375055017605634,0.28238115289918,1.0,1.0,1.0,0.5383107969667128,0.6429231741504714,0,499840
clause40_float_mmse,clause40 insertion-loss-shaped,floating MMSE FFE,float-mmse,20.0,19.99791465012851,18.972985928953932,0.0013604462263622468,0.005429780968157555,0.0013604462263622468,0.0013415439587912644,0.743691241537478,0.7387936665882519,0.4936726975586663,0.15912502419638494,0.9893490398760083,4,499836
clause40_fixed_ffe,clause40 insertion-loss-shaped,fixed RTL-model FFE,fixed-rtl-model,20.0,19.998397415466528,18.945388419559148,0.0014014652864751097,0.005589855832136269,0.0014014652864751097,0.0013879431303532202,0.7540060304702246,0.7506523609833902,0.5037583100526664,0.15963145286373562,7779.364757482612,6,499834
ideal_no_ffe,ideal,no FFE,none,22.0,21.99734585221833,21.997773237311,6.001920614596671e-06,2.4007682458386683e-05,6.001920614596671e-06,6.833352823236634e-06,0.005983962973480583,0.006810081745827978,0.0029964978425410793,0.1123308548603457,1.0000551592203923,0,499840
clause40_no_ffe,clause40 insertion-loss-shaped,no FFE,none,22.0,22.00567632939294,8.517648103836494,0.3353883242637644,0.8055277688860435,0.3353883242637644,0.27658648981498823,1.0,1.0,1.0,0.5302800891687554,0.6429807259486642,0,499840
clause40_float_mmse,clause40 insertion-loss-shaped,floating MMSE FFE,float-mmse,22.0,22.00414713280285,20.96859049869163,5.55182099728711e-05,0.0002220728398914844,5.55182099728711e-05,6.154267415425072e-05,0.05400666098528739,0.059688962960141145,0.027380359800092235,0.1264614782775592,0.9892985109551631,4,499836
